"compute_time","Datasets","modality","compute time(hrs)"
1561,"NKI","perf",0.433611111111111
354,"NKI","perf",0.0983333333333333
1200,"NKI","perf",0.333333333333333
1480,"NKI","perf",0.411111111111111
2660,"NKI","perf",0.738888888888889
369,"NKI","perf",0.1025
317,"NKI","perf",0.0880555555555556
1423,"NKI","perf",0.395277777777778
1440,"NKI","perf",0.4
349,"NKI","perf",0.0969444444444444
334,"NKI","perf",0.0927777777777778
369,"NKI","perf",0.1025
1507,"NKI","perf",0.418611111111111
1424,"NKI","perf",0.395555555555556
1240,"NKI","perf",0.344444444444444
2480,"NKI","perf",0.688888888888889
351,"NKI","perf",0.0975
1318,"NKI","perf",0.366111111111111
3610,"NKI","perf",1.00277777777778
1207,"NKI","perf",0.335277777777778
318,"NKI","perf",0.0883333333333333
306,"NKI","perf",0.085
1258,"NKI","perf",0.349444444444444
1495,"NKI","perf",0.415277777777778
2272,"NKI","perf",0.631111111111111
320,"NKI","perf",0.0888888888888889
348,"NKI","perf",0.0966666666666667
2116,"NKI","perf",0.587777777777778
1184,"NKI","perf",0.328888888888889
1225,"NKI","perf",0.340277777777778
351,"NKI","perf",0.0975
350,"NKI","perf",0.0972222222222222
1267,"NKI","perf",0.351944444444444
1185,"NKI","perf",0.329166666666667
3132,"NKI","perf",0.87
360,"NKI","perf",0.1
305,"NKI","perf",0.0847222222222222
1163,"NKI","perf",0.323055555555556
1522,"NKI","perf",0.422777777777778
3082,"NKI","perf",0.856111111111111
2162,"NKI","perf",0.600555555555556
354,"NKI","perf",0.0983333333333333
1165,"NKI","perf",0.323611111111111
1560,"NKI","perf",0.433333333333333
2374,"NKI","perf",0.659444444444444
2380,"NKI","perf",0.661111111111111
302,"NKI","perf",0.0838888888888889
1460,"NKI","perf",0.405555555555556
1199,"NKI","perf",0.333055555555556
3466,"NKI","perf",0.962777777777778
339,"NKI","perf",0.0941666666666667
340,"NKI","perf",0.0944444444444444
1213,"NKI","perf",0.336944444444444
3890,"NKI","perf",1.08055555555556
3384,"NKI","perf",0.94
338,"NKI","perf",0.0938888888888889
317,"NKI","perf",0.0880555555555556
1219,"NKI","perf",0.338611111111111
1405,"NKI","perf",0.390277777777778
289,"NKI","perf",0.0802777777777778
351,"NKI","perf",0.0975
337,"NKI","perf",0.0936111111111111
1148,"NKI","perf",0.318888888888889
2686,"NKI","perf",0.746111111111111
2213,"NKI","perf",0.614722222222222
330,"NKI","perf",0.0916666666666667
353,"NKI","perf",0.0980555555555556
2199,"NKI","perf",0.610833333333333
2425,"NKI","perf",0.673611111111111
1641,"NKI","perf",0.455833333333333
300,"NKI","perf",0.0833333333333333
303,"NKI","perf",0.0841666666666667
1481,"NKI","perf",0.411388888888889
3585,"NKI","perf",0.995833333333333
1228,"NKI","perf",0.341111111111111
317,"NKI","perf",0.0880555555555556
314,"NKI","perf",0.0872222222222222
1261,"NKI","perf",0.350277777777778
3614,"NKI","perf",1.00388888888889
1633,"NKI","perf",0.453611111111111
345,"NKI","perf",0.0958333333333333
338,"NKI","perf",0.0938888888888889
1207,"NKI","perf",0.335277777777778
2080,"NKI","perf",0.577777777777778
2420,"NKI","perf",0.672222222222222
357,"NKI","perf",0.0991666666666667
295,"NKI","perf",0.0819444444444444
2843,"NKI","perf",0.789722222222222
2115,"NKI","perf",0.5875
2345,"NKI","perf",0.651388888888889
930,"NKI","perf",0.258333333333333
841,"NKI","perf",0.233611111111111
1172,"NKI","perf",0.325555555555556
3031,"NKI","perf",0.841944444444444
2454,"NKI","perf",0.681666666666667
305,"NKI","perf",0.0847222222222222
340,"NKI","perf",0.0944444444444444
1259,"NKI","perf",0.349722222222222
336,"NKI","perf",0.0933333333333333
335,"NKI","perf",0.0930555555555556
352,"NKI","perf",0.0977777777777778
1190,"NKI","perf",0.330555555555556
1471,"NKI","perf",0.408611111111111
1515,"NKI","perf",0.420833333333333
2610,"NKI","perf",0.725
319,"NKI","perf",0.0886111111111111
2093,"NKI","perf",0.581388888888889
1560,"NKI","perf",0.433333333333333
1220,"NKI","perf",0.338888888888889
1643,"NKI","perf",0.456388888888889
350,"NKI","perf",0.0972222222222222
335,"NKI","perf",0.0930555555555556
2521,"NKI","perf",0.700277777777778
1368,"NKI","perf",0.38
2006,"NKI","perf",0.557222222222222
353,"NKI","perf",0.0980555555555556
335,"NKI","perf",0.0930555555555556
1206,"NKI","perf",0.335
2761,"NKI","perf",0.766944444444444
2691,"NKI","perf",0.7475
1785,"NKI","perf",0.495833333333333
353,"NKI","perf",0.0980555555555556
1563,"NKI","perf",0.434166666666667
2955,"NKI","perf",0.820833333333333
2304,"NKI","perf",0.64
7,"NKI","perf",0.00194444444444444
355,"NKI","perf",0.0986111111111111
3286,"NKI","perf",0.912777777777778
1264,"NKI","perf",0.351111111111111
2309,"NKI","perf",0.641388888888889
904,"NKI","perf",0.251111111111111
345,"NKI","perf",0.0958333333333333
1191,"NKI","perf",0.330833333333333
1307,"NKI","perf",0.363055555555556
2355,"NKI","perf",0.654166666666667
334,"NKI","perf",0.0927777777777778
764,"NKI","perf",0.212222222222222
2284,"NKI","perf",0.634444444444444
314,"NKI","perf",0.0872222222222222
3704,"NKI","perf",1.02888888888889
351,"NKI","perf",0.0975
296,"NKI","perf",0.0822222222222222
1693,"NKI","perf",0.470277777777778
1479,"NKI","perf",0.410833333333333
2162,"NKI","perf",0.600555555555556
312,"NKI","perf",0.0866666666666667
350,"NKI","perf",0.0972222222222222
1526,"NKI","perf",0.423888888888889
357,"NKI","perf",0.0991666666666667
2280,"NKI","perf",0.633333333333333
301,"NKI","perf",0.0836111111111111
292,"NKI","perf",0.0811111111111111
1459,"NKI","perf",0.405277777777778
1652,"NKI","perf",0.458888888888889
2849,"NKI","perf",0.791388888888889
315,"NKI","perf",0.0875
2347,"NKI","perf",0.651944444444444
1558,"NKI","perf",0.432777777777778
1270,"NKI","perf",0.352777777777778
2492,"NKI","perf",0.692222222222222
335,"NKI","perf",0.0930555555555556
2376,"NKI","perf",0.66
351,"NKI","perf",0.0975
3138,"NKI","perf",0.871666666666667
1383,"NKI","perf",0.384166666666667
354,"NKI","perf",0.0983333333333333
317,"NKI","perf",0.0880555555555556
1170,"NKI","perf",0.325
1447,"NKI","perf",0.401944444444444
1901,"NKI","perf",0.528055555555556
352,"NKI","perf",0.0977777777777778
336,"NKI","perf",0.0933333333333333
1516,"NKI","perf",0.421111111111111
1209,"NKI","perf",0.335833333333333
2615,"NKI","perf",0.726388888888889
353,"NKI","perf",0.0980555555555556
311,"NKI","perf",0.0863888888888889
2457,"NKI","perf",0.6825
2054,"NKI","perf",0.570555555555556
3689,"NKI","perf",1.02472222222222
349,"NKI","perf",0.0969444444444444
334,"NKI","perf",0.0927777777777778
2761,"NKI","perf",0.766944444444444
3,"NKI","perf",0.000833333333333333
353,"NKI","perf",0.0980555555555556
313,"NKI","perf",0.0869444444444444
328,"NKI","perf",0.0911111111111111
1423,"NKI","perf",0.395277777777778
3186,"NKI","perf",0.885
3214,"NKI","perf",0.892777777777778
319,"NKI","perf",0.0886111111111111
331,"NKI","perf",0.0919444444444444
2042,"NKI","perf",0.567222222222222
1294,"NKI","perf",0.359444444444444
2078,"NKI","perf",0.577222222222222
335,"NKI","perf",0.0930555555555556
288,"NKI","perf",0.08
2012,"NKI","perf",0.558888888888889
1209,"NKI","perf",0.335833333333333
2567,"NKI","perf",0.713055555555556
339,"NKI","perf",0.0941666666666667
351,"NKI","perf",0.0975
331,"NKI","perf",0.0919444444444444
1206,"NKI","perf",0.335
1387,"NKI","perf",0.385277777777778
333,"NKI","perf",0.0925
902,"NKI","perf",0.250555555555556
353,"NKI","perf",0.0980555555555556
1258,"NKI","perf",0.349444444444444
1234,"NKI","perf",0.342777777777778
348,"NKI","perf",0.0966666666666667
335,"NKI","perf",0.0930555555555556
350,"NKI","perf",0.0972222222222222
